Number_of_elements,Element_Combination,Number_of_bridges,Bridge_numbers
5,"215, 306, 310, 332, 510",4,"20592 163 02547, 20994 414700620, 22612 000 00015, 29C282746 00091"
5,"215, 228, 330, 510, 515",4,"11511 000, 11541 009 00242, 11655 011 01632, 12120A422010067"
6,"12, 109, 215, 302, 310, 331",4,"19740 001 12049, 19741 001 12049, 20051 041 06563, 20327 041 03744"
2,"215, 310",4,"11C42D006100010, 18959 90102 020, 20997 000 00000, 24045C85700180"
4,"215, 310, 330, 510",4,"20075 679 00211, 21151 000 00000, 21913 369 00092, 22070 020B00921"
2,"215, 332",4,"16193 183 00592, 16194 183 00562, 16195 183 00382, 16206 183 00454"
7,"12, 109, 215, 301, 306, 310, 331",4,"19096 000 00000, 20376 001 17789, 20419 001 28228, 23918 002600327"
8,"216, 219, 228, 306, 310, 330, 510, 515",4,"11919 073000347, 12257A011800131, 12266 000201286, 12619 074000008"
4,"38, 215, 306, 331",4,"17076 064C01628, 17077 064C01617, 18362 00000 000, 18363 00000 000"
9,"216, 219, 228, 231, 306, 310, 330, 510, 515",4,"12323 021900158, 12617 033600054, 12724A000800122, 12790A651A00028"
9,"16, 110, 205, 215, 234, 306, 330, 510, 515",4,"07035B000000000, 07667 001 12508, 07941 164 00025, 08049 063 01907"
7,"15, 109, 215, 306, 310, 331, 510",4,"23987 000 00000, 243490043 00141, 24375 000 00000, 39C254273000061"
7,"12, 109, 210, 215, 306, 310, 331",4,"00555B009 08408, 17424 162 00890, 39C149173000001, 39C184147500000"
8,"12, 109, 210, 215, 306, 310, 331, 510",4,"07935A006 37407, 07935B006 37408, 19C261  48  345, 39C523503600755"
4,"110, 215, 330, 510",3,"00870 009 08868, 04673 032 00147, 16883 072 00451"
8,"216, 228, 231, 306, 310, 330, 510, 515",3,"03591A442 00311, 12444 023200276, 12726A000800251"
7,"16, 109, 215, 306, 330, 510, 515",3,"12890A002500332, 22454 000900750, 63C24A553 00309"
7,"12, 109, 215, 301, 331, 510, 521",3,"07293A006 28619, 09801 006 28917, 09801A006 28917"
10,"16, 110, 205, 215, 220, 225, 234, 306, 331, 510",3,"06653A01W 06813, 08412 022 02232, 14099A065 00079"
9,"16, 110, 205, 215, 220, 225, 234, 306, 331",3,"07736A001 18546, 08555 062 02789, 09445 001300645"
6,"210, 215, 310, 330, 510, 515",3,"11222A130100567, 16932 000517010, 671376022100000"
10,"12, 107, 215, 225, 306, 311, 313, 330, 510, 515",3,"08979 012 07080, 19C218  12 1040, 19C364  12 1052"
7,"12, 104, 215, 306, 310, 331, 521",3,"19218 001 24214, 19312 001 08640, 20151 063 00035"
9,"12, 107, 215, 225, 306, 313, 330, 510, 515",3,"19C051006100009, 19C159  16 1157, 19C259131W00062"
8,"38, 215, 225, 234, 306, 331, 510, 515",3,"06009A028, 09342 000, 09670A01EC00551"
6,"54, 216, 228, 235, 332, 510",3,"47C36 543, 47C38 543, 47C66 843"
6,"210, 215, 306, 310, 330, 515",3,"016809113100012, 11536F000, 16745 061500217"
7,"12, 107, 215, 225, 330, 510, 515",3,"06546 149 00161, 19C082008300107, 19C176002300743"
6,"38, 205, 215, 234, 306, 331",3,"06080A000000000, 07400A01EX00575, 17191 001 24112"
9,"12, 109, 205, 215, 234, 300, 306, 310, 331",3,"08590Y001C30068, 19229 006 25724, 19613 190000724"
13,"12, 110, 113, 120, 152, 162, 205, 215, 234, 311, 313, 330, 515",3,"01857A130 00755, 01858A130 00597, 01859A130 00511"
8,"30, 107, 215, 306, 313, 330, 510, 515",3,"59C194117500452, 59C197120000700, 59C709080000064"
7,"38, 215, 225, 234, 306, 331, 510",3,"16086 001 26112, 16086A001 26112, 470258000 00320"
8,"210, 215, 225, 306, 310, 330, 510, 515",3,"01372A871 00007, 16375 110000352, 16734 000000000"
5,"109, 215, 310, 330, 515",3,"18301 65020 046, 21269 000000000, 59C537110000452"
9,"16, 110, 205, 215, 234, 306, 311, 331, 510",3,"00995 009F33833, 33C04A240000450, R7040A01EX00022"
10,"16, 110, 205, 215, 220, 234, 306, 311, 331, 510",3,"00372A01W 04729, 01534 034, 509005509000052"
6,"16, 110, 205, 234, 331, 510",3,"015478057001696, 12952 083200053, 558391062500125"
6,"215, 220, 306, 310, 332, 510",3,"29C186835 00013, 29C32 562 00374, 31602 031600002"
8,"38, 215, 226, 234, 306, 330, 510, 515",3,"03945 01W 10890, 09461 000 00055, 12684 070100199"
8,"12, 109, 210, 215, 220, 306, 310, 331",3,"19C350   6 1410, 19C471   1 1031, 19C488  11  900"
8,"16, 110, 216, 235, 306, 330, 510, 515",3,"08849 431 03140, 08850 431 03067, 15C006054500010"
5,"12, 104, 215, 306, 331",3,"17446 424 00291, 17474 069 00572, 18267 001 25474"
8,"16, 110, 205, 234, 306, 330, 510, 515",3,"07073 016 01356, 470440000 00043, 671343063200837"
11,"12, 107, 215, 225, 231, 306, 310, 313, 330, 510, 515",3,"19C070002200424, 19C073002200679, 19C074002200764"
7,"12, 109, 210, 215, 301, 310, 331",3,"19193 093500190, 20331 041600043, 20354 240001658"
4,"31, 111, 215, 332",3,"23C442044 00030, 51C10 000 00001, 63B013000000000"
7,"16, 110, 205, 215, 330, 331, 510",3,"07486 041 06171, 07487 041 06322, 07489 041 06503"
8,"12, 16, 104, 109, 205, 215, 306, 330",3,"07848A001 26755, 07850A001 26525, 07853A001 26190"
6,"16, 110, 217, 306, 334, 510",3,"06564 000 00500, 06565 000 00391, 06566 000 00323"
9,"12, 109, 205, 215, 234, 301, 302, 310, 331",3,"07043A002 01008, 20459 001 05706, 20460 001 05706"
7,"12, 107, 215, 300, 310, 331, 515",3,"19924 000 00016, 20062 001 19578, 22301 000 00000"
8,"104, 215, 225, 234, 306, 310, 331, 510",3,"19905 007 16764, 19906 007 17457, 19910 007 19513"
7,"109, 210, 215, 306, 310, 331, 510",3,"00455A065600030, 11449A730 01185, 19978 000700011"
6,"12, 107, 215, 306, 331, 515",3,"19951 005 00025, 20255 341 04701, 222253060 00040"
3,"241, 330, 510",3,"23171 000 00000, 24370 000 00371, 40003 000 00096"
9,"16, 105, 205, 215, 234, 302, 311, 331, 521",3,"09249 061C00113, 09249T061 00197, 09254C047 07397"
7,"12, 109, 215, 301, 302, 310, 331",3,"19872 102 04545, 19873 102 04563, 19896 140 00549"
2,"144, 331",3,"49B09 000, 63B012000000000, 63B016000000000"
9,"12, 107, 205, 215, 234, 300, 310, 331, 515",3,"20855 002 03898, 21869 075 00052, 23937 038800108"
7,"16, 110, 155, 205, 306, 331, 510",3,"07786 009F30702, 07828A001 17584, 07828B001 17584"
2,"215, 228",3,"57C67 554 00015, 57C68 317300030, 57C69 317600020"
9,"31, 111, 206, 215, 220, 235, 330, 510, 515",3,"31C29 676 00020, 31C38 690 00001, 31C83 000"
7,"38, 215, 225, 234, 330, 510, 515",3,"00558A066 01261, 013563100900290, 04834A340 00063"
6,"12, 107, 215, 310, 330, 515",3,"18949 837 00020, 21384 000 00352, 22486 000 00010"
6,"12, 109, 215, 306, 331, 510",3,"01812A047 01023, 07470C045 05674, 08100A001C06146"
7,"12, 107, 215, 311, 330, 510, 515",3,"244705244700015, 33C25 520000226, 529005529000193"
7,"12, 107, 215, 311, 331, 510, 515",3,"226005226000020, 33C10 392000387, 33C23 401000244"
8,"54, 216, 228, 235, 306, 330, 510, 515",3,"05109 012 00000, 14412 000 00100, 14442 000 00090"
10,"16, 110, 155, 205, 215, 234, 306, 311, 331, 510",3,"00464 000000059, 00866B033 03934, 02097 01E 00159"
9,"16, 105, 205, 215, 234, 302, 306, 311, 331",3,"09154 061 00071, 09156 061C00060, 09254E061C00157"
7,"205, 215, 234, 306, 330, 510, 515",3,"00773A033 03996, 11C153001900716, 16569 001C26020"
6,"16, 110, 205, 220, 331, 510",3,"08088 788 00037, 12035A80401 699, 470445"
6,"38, 215, 310, 330, 510, 515",3,"21585 365500004, 23897 000 00000, 24010 211 00160"
9,"12, 109, 215, 300, 306, 314, 331, 515, 521",3,"18052 033 02670, 18053 033 02682, 18054 033 02710"
7,"54, 216, 225, 228, 306, 332, 510",3,"47C05 008 00000, 47C20 072 00000, 47C45 624"
7,"219, 228, 231, 306, 310, 332, 510",3,"12385 022300037, 12796 065200141, 53C057651300327"
7,"216, 219, 228, 310, 330, 510, 515",3,"12327 022100002, 12328 000300438, 12399 052000017"
7,"30, 107, 219, 306, 330, 510, 515",3,"00990A014 02867, 19141 032 00020, 49C28A000000000"
9,"16, 105, 205, 215, 234, 306, 330, 510, 515",3,"07770 162C00191, 08290 009 33048, 09591 02WC04837"
6,"104, 215, 301, 310, 331, 510",3,"19874 102 04863, 20296 069 00014, 20297 069 00675"
7,"12, 109, 215, 300, 301, 310, 331",3,"19969 000000000, 20486 001 18834, 20487 001 18834"
7,"12, 107, 215, 301, 310, 331, 515",3,"21417 160 00001, 24025 047 04563, 51C03 000 00001"
8,"16, 105, 205, 215, 234, 306, 311, 331",3,"09158 061C00102, 09160 061 00109, 09255 061 00139"
2,"215, 510",3,"11789 000, 16092 000 00039, 22357 555 00007"
9,"12, 109, 205, 215, 220, 234, 306, 310, 331",3,"01051A009 04663, 01827B 02W 0925, 07854C001 25910"
6,"12, 107, 215, 301, 331, 515",3,"21163 231 02115, 21976 520 00634, 222243060 00080"
9,"12, 111, 216, 225, 228, 235, 306, 331, 510",3,"01755E229 04836, 01755L229 05036, 04301 211 00493"
7,"16, 110, 215, 310, 330, 510, 515",3,"33C06 270000371, 374005374000025, 510010510000051"
6,"16, 104, 215, 310, 330, 515",3,"16290 853 00471, 16398 099500315, 18853 467 00210"
7,"12, 104, 215, 301, 310, 331, 521",3,"19313 001 08640, 20093 001 09953, 20094 001 09953"
5,"12, 107, 215, 330, 515",3,"19676 512 00270, 45C107109000036, 45C116110100005"
7,"215, 226, 234, 310, 330, 510, 515",3,"05478A427 00732, 45C602080800055, 671310A15200170"
7,"215, 225, 306, 310, 331, 510, 515",3,"01914A181 01287, 01972A181 01547, 02670A02W 02148"
7,"38, 215, 226, 234, 306, 330, 515",3,"01740 02W 01319, 39C315315000101, 39C346350800227"
11,"12, 13, 104, 215, 225, 234, 306, 311, 330, 510, 515",3,"21568 018 05623, 21569 018 05629, 21570 018 05632"
4,"220, 240, 330, 515",3,"17C37 B33200050, 18813 00000 000, 47B009000000000"
8,"12, 109, 205, 215, 234, 310, 330, 515",3,"11C761000000004, 17985 000000000, 20121 859 00450"
8,"30, 107, 152, 215, 313, 330, 510, 515",3,"63C04 507 00351, 63C14 515 00533, 63C72 000X00062"
6,"54, 206, 216, 330, 510, 515",3,"18C011052000741, 35C138056601220, 35C171088800430"
6,"16, 110, 205, 215, 234, 331",3,"01481 009 02410, 07643 001 14939, 470608000"
3,"216, 330, 515",3,"11C49E011800005, 12096 56301 035, 6C117 059 00454"
5,"220, 241, 306, 331, 510",3,"47C203087400101, 47C205086500310, 47C206002200871"
9,"16, 110, 205, 215, 234, 301, 306, 331, 510",3,"07864A001 17384, 07865A001 17340, 51C33 000 00001"
6,"215, 225, 306, 310, 331, 510",3,"00478B054 01210, 00479B054 01060, 03044A160 02234"
5,"215, 225, 310, 331, 510",3,"039C18260000113, 13691A112800644, 18854 220 00040"
5,"16, 109, 215, 330, 515",3,"11C17I004900000, 16689 015400015, 23C041004 00740"
5,"215, 220, 306, 332, 510",3,"043B12000000014, 12778A003400126, 29C172819 00264"
6,"12, 109, 215, 310, 331, 510",3,"01C232667 00066, 02020A004 27995, 29C263875 00790"
6,"215, 234, 306, 330, 510, 515",3,"11149A110100222, 11C147002000656, 35C184087000090"
7,"12, 109, 205, 215, 234, 306, 331",3,"17418 162 00667, 19849 001 17560, 19851 001 17560"
9,"16, 110, 205, 215, 225, 234, 306, 331, 510",3,"06806 162 06548, 08617 033 05573, 19C468   1  385"
7,"16, 109, 215, 225, 330, 510, 515",3,"06C42A003200439, 11C152001900480, 11C67J008900251"
6,"31, 111, 216, 228, 235, 332",3,"11491A70201 922, 47C09 024 00000, 47C10 024 00000"
9,"12, 110, 215, 225, 234, 306, 330, 510, 515",3,"07530 033 00323, 07532 033 00419, 07533 033 00447"
7,"12, 109, 215, 306, 310, 330, 515",3,"21354 000 00000, 39C521503500027, 57C81 000000002"
8,"12, 109, 210, 215, 306, 310, 331, 521",3,"00599B007 24655, 09521 006 20896, 09521A006 20894"
8,"219, 225, 228, 231, 306, 310, 332, 510",3,"12338 020600148, 12794 065200054, 53C099084900097"
10,"12, 109, 205, 215, 234, 302, 306, 310, 331, 510",3,"01781A006 33727, 01783A006 33899, 09067E227 00752"
9,"16, 104, 205, 215, 234, 306, 310, 331, 510",3,"01137B, 19650 008 02031, 20872 005 11945"
9,"38, 215, 225, 234, 306, 310, 330, 510, 515",3,"13821A450400010, 39C312  16S4W23, 39C566532600059"
6,"38, 210, 215, 301, 330, 515",3,"18592 694 00082, 18593 694 00069, 18594 694 00059"
6,"110, 205, 215, 234, 330, 331",3,"08130 001 23967, 08224 001 23191, 08228 001 23012"
8,"12, 107, 215, 220, 306, 330, 510, 515",3,"04698A556 00306, 19C095  37 1420, 51C08 000 00001"
6,"215, 226, 234, 306, 310, 510",3,"15143B532000018, 15144B532000035, 15145B532000061"
5,"215, 220, 310, 332, 510",3,"29C215903 00319, 29C223927 00570, 29C258000 00176"
5,"31, 111, 216, 228, 332",3,"11503 000000000, 21566 000 00000, 25A11 C13801520"
8,"16, 110, 215, 220, 306, 330, 510, 515",3,"05244 000 00050, 06397 000   035, 43C08 000 00000"
7,"12, 109, 210, 215, 300, 310, 331",3,"20069 142 00184, 20295 143000122, 20508 580000729"
12,"12, 109, 205, 215, 234, 302, 306, 310, 330, 331, 515, 521",3,"00406A021 00076, 01352A160 01244, 02173A035 07602"
9,"12, 109, 205, 215, 234, 302, 306, 310, 331",3,"00902C009 29737, 09153 01W 00129, 671408206500000"
9,"12, 109, 205, 215, 234, 310, 331, 510, 521",3,"08891N001 02242, 09475 006 32624, 09475A006 32624"
7,"38, 215, 225, 228, 234, 331, 510",3,"04917A351F00606, 07481 009 06207, 07615 01W 06201"
11,"12, 107, 205, 215, 220, 234, 311, 313, 330, 510, 515",3,"06456 000   040, 19C049003400375, 19C492  19  805"
9,"219, 225, 228, 231, 306, 310, 332, 510, 515",3,"53C024000300025, 53C056651300015, 53C116095700083"
6,"215, 226, 234, 306, 330, 510",3,"00928A009 29549, 16056 000000000, 16057 000000000"
10,"16, 110, 219, 228, 231, 306, 310, 330, 510, 515",3,"06228 009 00353, 12412 034600108, 12865 072500085"
7,"109, 215, 228, 310, 330, 510, 515",2,"12018A10801 006, 12197 60201 389"
8,"109, 215, 226, 234, 306, 310, 331, 510",2,"14443 000 00224, 14444 253 00050"
10,"12, 215, 225, 234, 304, 306, 310, 330, 510, 515",2,"23060 000 00000, 23064 000 00000"
9,"16, 105, 205, 215, 234, 306, 312, 331, 510",2,"09254F061C00152, 09254G061C00114"
7,"12, 109, 215, 306, 330, 510, 515",2,"09775 270 00499, 47C100A57700000"
8,"16, 109, 215, 225, 310, 330, 510, 515",2,"11C43A003200160, 14966A240000978"
10,"12, 107, 205, 215, 234, 301, 311, 313, 510, 515",2,"02758A935000000, 08589 614 00005"
6,"12, 107, 215, 306, 510, 515",2,"04468A163 01955, 19641 000 00000"
9,"16, 105, 205, 215, 234, 306, 310, 331, 510",2,"00123G030 02600, 09007 001 30418"
9,"110, 205, 215, 233, 234, 306, 311, 331, 510",2,"08610 002 04393, 08610W002 04393"
6,"12, 107, 215, 310, 331, 515",2,"09403R064C00930, 21912 070500000"
7,"12, 107, 215, 301, 331, 515, 521",2,"20674 001 01496, 20675 001 01496"
8,"31, 111, 206, 215, 220, 228, 235, 332",2,"21225 000000000, 21229 000000000"
17,"16, 38, 104, 109, 144, 154, 205, 215, 220, 234, 300, 306, 310, 330, 331, 515, 521",2,"21038 001 19275, 21039 001 19275"
8,"12, 107, 215, 306, 310, 330, 510, 515",2,"02793A066 05213, 19C030001500155"
6,"12, 109, 215, 310, 330, 515",2,"22146 000 00012, 39C17A260000087"
6,"12, 215, 301, 306, 310, 331",2,"23991C099200093, 23992099200009"
8,"31, 111, 205, 216, 220, 235, 332, 510",2,"01862 130 00382, 01863 130 00360"
10,"12, 107, 205, 215, 234, 302, 306, 310, 330, 515",2,"22061 537 00105, 22208 537 00105"
6,"12, 109, 215, 306, 330, 510",2,"04932A000 01323, 09831 171 00264"
10,"12, 107, 210, 215, 225, 306, 313, 330, 510, 515",2,"19C025  17  064, 19C185008000185"
8,"12, 107, 210, 215, 301, 311, 330, 515",2,"19C169003500035, 19C216  28  330"
7,"38, 215, 301, 310, 331, 510, 521",2,"20240 001 13860, 20717 001 11035"
8,"12, 109, 215, 306, 310, 330, 331, 510",2,"07650A041 03908, 07651A041 03943"
4,"12, 109, 215, 330",2,"16159 002400003, 45C133083600080"
5,"16, 105, 205, 215, 331",2,"08037 002C02503, 09855 210 00763"
7,"12, 109, 215, 302, 306, 310, 331",2,"20416 004 11933, 20666 160 01081"
10,"12, 107, 215, 220, 306, 311, 313, 330, 510, 515",2,"05246 000 00020, 29C92 819 01172"
8,"38, 205, 215, 228, 234, 306, 331, 510",2,"08904 01W 03924, 19C504  99  005"
7,"12, 109, 215, 302, 310, 330, 515",2,"16611 002 16576, 16612 002 16576"
9,"12, 107, 215, 225, 231, 306, 330, 510, 515",2,"00004 000 00010, 19C258012800104"
5,"38, 215, 234, 330, 515",2,"14965A240000780, 470242000"
6,"16, 105, 205, 215, 234, 510",2,"08997 001 30493, 09000 001 30468"
4,"109, 215, 310, 510",2,"09910 789 00327, 09911 788 00295"
8,"12, 107, 205, 215, 234, 300, 331, 515",2,"22204 000 01156, 22246 000 00805"
6,"38, 215, 234, 306, 331, 510",2,"01750B002 10168, W1750B002 10168"
8,"12, 109, 215, 306, 310, 330, 331, 515",2,"24240 004 13410, 24261 004 13404"
12,"12, 107, 210, 215, 225, 302, 306, 311, 313, 330, 510, 515",2,"19C224  33 1902, 19C317024000017"
8,"12, 107, 210, 215, 220, 330, 510, 515",2,"06455 033 00015, 06556 000 00019"
11,"12, 107, 210, 215, 220, 306, 311, 313, 330, 510, 515",2,"19C052002500206, 19C062000700515"
6,"12, 109, 215, 301, 306, 331",2,"20091 073 00000, 20484 006C34059"
9,"12, 107, 205, 215, 234, 303, 315, 331, 515",2,"19712 006 31746, 19713 006 31744"
9,"110, 205, 215, 220, 234, 306, 311, 331, 510",2,"08246S001 21039, 14964B240000203"
11,"12, 107, 205, 215, 234, 306, 311, 313, 330, 510, 515",2,"15C37 059500810, 19C021008200160"
8,"12, 107, 215, 300, 301, 310, 330, 515",2,"20187 930 00029, 22333 550 00006"
9,"12, 107, 205, 215, 234, 306, 330, 510, 515",2,"04566B068 00710, 20369 009 00264"
7,"12, 109, 215, 301, 310, 330, 515",2,"18289 406000001, 18774 000 00798"
8,"38, 205, 215, 234, 301, 310, 331, 510",2,"20212 001 13046, 20213 001 13046"
9,"110, 205, 215, 234, 306, 310, 311, 331, 510",2,"00450 066 02460, 08124 001 24042"
12,"31, 111, 117, 135, 156, 205, 215, 225, 231, 234, 332, 515",2,"39C176198000004, 39C241254200020"
8,"31, 111, 117, 135, 156, 210, 215, 332",2,"12037 80502 148, 39C123111600001"
6,"38, 215, 226, 234, 301, 510",2,"09507 006 29678, 09507A006 29678"
11,"16, 109, 205, 215, 234, 302, 306, 310, 330, 510, 515",2,"20027 224 00002, 59C428061300015"
11,"12, 107, 210, 215, 220, 225, 306, 311, 330, 510, 515",2,"19C061000700436, 26T03 000 00000"
7,"38, 215, 306, 310, 330, 515, 521",2,"22228 302 00186, 22229 306 00172"
7,"38, 215, 228, 234, 306, 331, 510",2,"08763 135 00130, 21C10 828 00000"
4,"38, 215, 330, 515",2,"16828 819 00480, 45C1300981 0053"
6,"12, 107, 215, 331, 510, 515",2,"19C019008200018, 19C026  17  319"
8,"12, 109, 205, 215, 234, 303, 310, 331",2,"2024200117999, 51B002000000000"
8,"31, 111, 216, 228, 235, 306, 332, 510",2,"47C18 054 00000, 57C42 874 00010"
5,"38, 210, 215, 330, 515",2,"06895R026 00002, 39C177198000109"
10,"12, 109, 205, 215, 234, 306, 310, 331, 510, 521",2,"08891S001 02242, 08941W006 32124"
5,"38, 210, 215, 330, 510",2,"00777A052 04556, 17C02 A09 00520"
8,"12, 110, 216, 228, 235, 306, 331, 510",2,"07426 009 06240, 07456 009 06284"
6,"38, 210, 215, 306, 331, 521",2,"09838 006 36215, 09838A006 36215"
5,"12, 109, 210, 215, 331",2,"20055 819 01325, 20148 008 00168"
13,"12, 109, 215, 220, 225, 228, 234, 235, 306, 310, 330, 510, 515",2,"01214 018 01148, 01215 018 01136"
7,"12, 109, 215, 220, 301, 310, 331",2,"19178 162 07565, 21235 062 01847"
9,"31, 111, 216, 225, 235, 306, 330, 510, 515",2,"19C416 218  008, 53C084750200459"
10,"31, 117, 120, 152, 162, 215, 311, 313, 330, 515",2,"59C421062100005, 63C114509 00012"
6,"12, 109, 215, 220, 306, 331",2,"18310 000 00000, 18311 000 00000"
10,"12, 109, 205, 215, 234, 301, 310, 331, 510, 521",2,"08890N001 02307, 08890S001 02307"
8,"54, 206, 215, 220, 235, 306, 332, 510",2,"47C42 602, 47C63 755"
7,"31, 111, 216, 225, 228, 235, 332",2,"011228100600038, 72P01 01WF07375"
8,"104, 205, 215, 234, 300, 310, 331, 510",2,"13538 064 01780, 13538A064 01780"
8,"31, 111, 216, 225, 228, 235, 330, 515",2,"11518 000, 11629 000"
7,"38, 215, 227, 234, 306, 331, 510",2,"08225N001 23155, 08225S001 23155"
11,"12, 109, 205, 215, 234, 302, 310, 330, 331, 510, 515",2,"08855 042 00039, 08895 042 00310"
6,"12, 109, 215, 220, 310, 331",2,"09288 941 01089, 20532 000 00000"
8,"12, 109, 205, 215, 234, 302, 310, 330",2,"22019 004 14087, 22021 000 00000"
10,"16, 104, 205, 215, 234, 306, 310, 330, 510, 515",2,"01444B069800620, 18094 000   129"
8,"16, 104, 205, 215, 234, 310, 331, 510",2,"06967A002C01810, 22599072AD00506"
8,"104, 205, 215, 234, 302, 310, 331, 510",2,"13541 064 01722, 13541A064 01722"
7,"12, 109, 210, 215, 310, 330, 515",2,"01091A087000181, 19C336  97  022"
6,"13, 216, 228, 330, 510, 515",2,"15C30 118 00802, 41C07 10501 105"
10,"104, 155, 205, 215, 234, 310, 311, 314, 331, 510",2,"09711 064 01680, 09711A064 01680"
7,"12, 109, 205, 215, 234, 310, 330",2,"02299A130 00852, 16448 070 00767"
5,"54, 215, 330, 510, 515",2,"13C22 210 00095, 13C23 211 00140"
6,"54, 216, 228, 235, 306, 510",2,"47C74 905, 47C88 944"
7,"12, 109, 210, 215, 302, 310, 331",2,"18478 320 03537, 19825 091 05743"
